案
以
位
偉
囲
易
緯
胃
井
印
因
宇
渦
瓜
営
栄
衛
液
益
演
炎
塩
往
応
沖
億
恩
仮
価
果
架
河
課
貨
過
我
牙
芽
賀
解
快
戒
改
械
灰
害
街
格
確
覚
額
刊
幹
慣
汗
甘
肝
観
貫
関
韓
含
眼
願
喜
器
基
奇
寄
希
幾
旗
機
季
紀
技
義
議
逆
丘
救
泣
給
旧
居
巨
挙
許
漁
競
協
境
興
鏡
尭
極
均
禁
句
栗
訓
群
郡
刑
圭
型
径
恵
敬
景
経
芸
潔
結
健
券
建
険
験
減
現
限
個
固
故
護
候
功
効
厚
好
康
構
溝
耕
航
講
購
鉱
困
昆
混
査
最
妻
採
災
采
菜
際
在
材
罪
財
坂
昨
桜
冊
刷
察
札
殺
雑
参
散
産
賛
酸
残
史
姿
師
志
支
枝
試
資
飼
似
児
治
辞
識
失
質
実
舎
写
射
者
謝
借
勺
主
取
守
種
酒
授
囚
州
修
拾
終
習
住
充
汁
祝
術
述
旬
準
順
初
暑
助
序
勝
召
商
唱
承
招
昌
昭
晶
松
沼
焼
照
省
章
笑
紹
証
詔
象
賞
鉦
乗
常
条
状
植
織
職
慎
深
真
神
臣
身
壬
帥
世
是
制
征
整
清
静
隻
席
昔
積
責
折
節
説
専
戦
浅
然
素
倉
宋
想
巣
争
側
則
即
息
束
速
族
続
卒
孫
他
打
対
帯
隊
代
第
題
叩
達
辰
単
炭
短
談
置
仲
柱
注
貯
兆
帳
弔
腸
調
辻
爪
吊
亭
低
停
貞
底
庭
廷
的
笛
鉄
典
伝
徒
登
都
努
度
奴
党
島
投
盗
湯
灯
等
働
堂
童
得
特
毒
寅
酉
廿
熱
念
農
波
敗
盃
配
倍
梅
博
畑
畠
発
隼
板
飯
否
悲
皮
費
非
飛
毘
美
鼻
疋
必
筆
標
氷
票
病
秒
品
富
冨
布
府
符
負
部
伏
副
服
福
弗
物
粉
丙
兵
別
変
辺
便
勉
包
放
法
亡
望
吠
牧
柾
亦
満
味
脈
民
無
命
免
面
勿
役
約
薬
油
勇
有
祐
遊
与
様
洋
羊
葉
要
陽
養
浴
洛
落
利
陸
流
旅
了
両
料
緑
輪
類
令
例
冷
礼
列
恋
練
連
路
労
老
録
和
个
丶
于
亟
亢
侖
冏
冓
冫
冲
勹
匸
卆
凖
厂
咼
囗
巛
廴
廾
弋
彳
敕
歹
淮
畄
癶
芍
苟
苻
荀
韋
圧
