姐
惟
為
異
維
違
遺
亥
域
隠
卯
碓
浦
鋭
悦
閲
延
援
沿
鉛
奥
押
欧
殴
岡
卸
穏
箇
壊
懐
劾
咳
該
柿
核
較
閣
革
割
括
叶
株
巻
喚
換
敢
環
監
看
簡
緩
危
揮
机
既
貴
飢
疑
虐
吸
汲
亨
享
供
凶
恐
恭
況
胸
郷
仰
桐
勤
錦
筋
偶
隅
熊
繰
傾
携
警
劇
激
穴
憲
権
絹
厳
幻
源
乎
呼
互
呉
娯
御
誤
佼
后
宏
弘
江
洪
皇
紅
絞
綱
鋼
降
項
刻
穀
骨
頃
砂
坐
座
債
栽
済
裁
阪
策
錆
桟
蚕
私
至
視
詞
誌
磁
執
捨
斜
若
朱
殊
狩
呪
樹
収
宗
就
衆
酋
什
従
縦
銃
熟
准
純
巡
処
緒
署
諸
傷
妾
将
障
丞
城
蒸
触
蝕
針
仁
刃
須
垂
推
錐
勢
姓
性
政
牲
盛
精
聖
製
誠
請
斉
税
績
蹟
碩
接
絶
宣
洗
染
賎
践
銭
善
噌
曽
祖
租
粗
阻
僧
創
壮
奏
層
掃
操
燥
窓
装
像
増
憎
臓
蔵
贈
造
測
属
揃
尊
損
堆
態
泰
袋
貸
退
醍
宅
沢
脱
誰
坦
担
探
胆
誕
団
断
暖
段
値
稚
築
筑
嫡
宙
忠
著
庁
張
潮
聴
脹
頂
沈
賃
椎
痛
漬
坪
堤
提
程
摘
敵
滴
適
鏑
展
唐
糖
統
討
導
洞
胴
銅
徳
独
届
屯
沌
頓
鈍
難
弐
匂
乳
任
妊
忍
認
撚
燃
悩
納
能
脳
巴
把
杷
派
破
俳
拝
排
背
肺
秤
莫
箸
肌
抜
伴
判
氾
版
犯
班
販
煩
晩
彼
批
披
秘
緋
肥
被
誹
備
媛
俵
評
貧
婦
浮
武
幅
腹
複
払
仏
奮
並
陛
片
弁
捕
甫
補
墓
暮
俸
奉
宝
捧
訪
坊
妨
忘
暴
棒
紡
肪
貿
防
枚
幕
枕
岬
密
務
夢
矛
娘
盟
棉
綿
模
尤
厄
訳
靖
愉
諭
輸
優
憂
郵
預
幼
欲
翌
頼
乱
卵
覧
裏
律
率
略
留
領
臨
朗
浪
郎
肋
論
况
凵
匈
呷
咀
哄
哺
嘖
噪
坡
垓
埔
奐
妲
孩
孰
嵎
帛
帷
幺
彷
徃
徂
徘
忱
怛
恬
恫
悵
愎
懆
扞
扛
拱
朖
朿
杠
枋
柤
椄
殞
汳
沮
渙
澡
烝
煥
狎
玻
琅
琲
皈
矼
砠
磧
禹
禺
粡
粮
聒
肛
胛
脯
腓
蛞
衽
袒
訌
詛
謫
譟
踉
躁
鈑
銛
陂
隕
雎
雉
駭
哀
扱
尉
慰
椅
壱
逸
稲
茨
芋
鰯
咽
姻
淫
陰
韻
影
詠
疫
謁
越
奄
宴
掩
焔
煙
猿
縁
艶
汚
凹
翁
憶
臆
乙
俺
佳
嫁
寡
暇
珂
禍
稼
華
菓
蝦
蚊
俄
峨
蛾
雅
餓
塊
慨
概
浬
蛙
垣
隔
掛
潟
喝
渇
葛
褐
鞄
瓦
乾
勧
寛
患
桓
歓
缶
還
陥
伎
岐
棄
毅
祈
軌
騎
鬼
妓
祇
菊
吃
砧
仇
朽
響
駆
愚
串
屈
掘
桑
薫
卦
珪
掲
桂
畦
罫
桁
兼
肩
玄
伍
乞
坑
孔
巧
恒
抗
攻
晃
杭
荒
郊
狛
坤
魂
佐
詐
歳
砕
斎
載
剤
堺
崎
埼
碕
咋
擦
皐
鯖
斬
伺
肢
滋
鹿
軸
湿
柴
釈
寿
需
秀
醜
柔
渋
哨
昇
梢
焦
硝
祥
称
詳
鞘
飾
伸
娠
振
晋
紳
甚
尽
酢
粋
遂
酔
枢
杉
瀬
誓
析
仙
繕
膳
曾
楚
礎
挿
霜
促
捉
俗
袖
耐
替
胎
滝
蛸
狸
丹
致
遅
窒
抽
帖
徴
超
鎮
津
塚
紬
帝
抵
汀
締
訂
諦
蹄
釘
溺
哲
填
貼
塗
渡
賭
途
鍍
砥
到
藤
透
匿
栃
凸
曇
那
鍋
縄
如
祢
猫
粘
覇
媒
楳
煤
蝿
剥
拍
柏
泊
粕
薄
漠
硲
帆
搬
汎
般
範
卑
尾
微
匹
描
苗
錨
鋲
浜
瓶
普
阜
附
雰
併
癖
募
庖
抱
泡
砲
胞
飽
房
某
謀
朴
睦
釦
殆
堀
幌
凡
埋
昧
哩
槙
膜
俣
粍
滅
摸
網
耗
紋
冶
弥
柳
柚
裕
誘
融
溶
熔
羅
雷
絡
酪
欄
梨
裡
離
粒
隆
竜
亮
伶
怜
玲
鈴
零
齢
暦
劣
賂
漏
枠
仆
伉
佯
俚
倚
倔
伜
假
傀
卍
叮
听
吭
呎
呵
呻
咐
哇
哘
哦
咯
啼
噫
國
圸
圻
坿
垳
垪
堙
堝
娥
尓
屹
岫
岻
岶
岾
峪
并
怡
怕
恪
忰
惘
愧
戈
戉
戍
戌
扣
抻
拈
拊
拉
挌
挂
掎
抬
晢
杣
杤
柯
柞
柢
柎
柆
梹
椚
楴
槐
榕
槞
檍
汕
沾
淹
淕
湮
滉
炸
烙
牴
狢
猗
獏
珎
珀
珞
瑕
瑰
畸
眛
硅
穃
穰
竓
站
竝
糘
糢
紿
絎
絣
綉
綺
罔
聊
聆
胙
胝
胼
膈
舐
舳
蚰
蛉
蝸
蟆
衫
袁
袮
袙
袿
裄
襄
觝
觧
訃
訖
訶
詒
詆
謨
豕
貽
跂
軻
輅
辟
酊
釉
鈬
鉞
鉚
銹
鍜
鎔
隗
駘
駱
鬲
魄
鮓
卐
鮇
ஷ
娃
阿
握
渥
飴
伊
依
威
仝
唖
虻
吋
嘘
鰻
旺
獲
穫
岳
滑
鎌
冠
堪
柑
款
艦
諌
鑑
企
嬉
棋
亀
偽
儀
宜
戯
擬
犠
蟻
桔
詰
却
拒
拠
虚
距
侠
僑
峡
挟
狂
狭
矯
驚
凝
暁
欣
欽
琴
緊
狗
矩
駒
釧
契
慶
渓
継
繋
撃
訣
圏
嫌
懸
献
謙
顕
弦
絃
舷
孤
弧
狐
袴
股
虎
誇
跨
雇
顧
碁
倖
慌
拘
梗
硬
衡
貢
墾
婚
懇
昏
紺
唆
沙
催
彩
咲
錯
撮
暫
刺
施
紫
叱
紗
爵
叔
淑
粛
俊
峻
瞬
竣
舜
駿
循
楯
盾
遵
償
奨
庄
床
彰
抄
樵
渉
症
礁
衝
剰
壌
嬢
畳
穣
譲
醸
錠
燭
侵
寝
審
浸
診
震
尋
吹
