仝
唖
虻
吋
嘘
鰻
旺
獲
穫
岳
滑
鎌
冠
堪
柑
款
艦
諌
鑑
企
嬉
棋
亀
偽
儀
宜
戯
擬
犠
蟻
桔
詰
却
拒
拠
虚
距
侠
僑
峡
挟
狂
狭
矯
驚
凝
暁
欣
欽
琴
緊
狗
矩
駒
釧
契
慶
渓
継
繋
撃
訣
圏
嫌
懸
献
謙
顕
弦
絃
舷
孤
弧
狐
袴
股
虎
誇
跨
雇
顧
碁
倖
慌
拘
梗
硬
衡
貢
墾
婚
懇
昏
紺
唆
沙
催
彩
咲
錯
撮
暫
刺
施
紫
叱
紗
爵
叔
淑
粛
俊
峻
瞬
竣
舜
駿
循
楯
盾
遵
償
奨
庄
床
彰
抄
樵
渉
症
礁
衝
剰
壌
嬢
畳
穣
譲
醸
錠
燭
侵
寝
審
浸
診
震
尋
吹
炊
睡
錘
澄
凄
棲
惜
籍
跡
摂
蝉
扇
潜
旋
繊
薦
遷
銑
鮮
漸
禅
岨
措
狙
疏
疎
双
唾
妥
騨
滞
卓
濯
鐸
濁
淡
湛
綻
弾
智
畜
蓄
酎
彫
挑
眺
跳
銚
捗
朕
珍
陳
掴
偵
碇
禎
泥
擢
甜
顛
怒
倒
凍
塔
搭
桃
棟
燈
筒
督
突
謎
馴
軟
尼
寧
之
濃
膿
廃
杯
曝
爆
繁
盤
疲
菱
肘
漂
彬
頻
敏
怖
敷
腐
舞
封
覆
沸
噴
墳
憤
紛
柄
壁
偏
遍
崩
朋
傍
忙
膨
僕
撲
没
翻
磨
抹
沫
慢
漫
魅
妙
眠
霧
冥
盲
餅
躍
猶
誉
妖
抑
沃
翼
淀
濫
琉
硫
龍
慮
僚
療
瞭
厘
涙
累
励
麗
裂
煉
錬
炉
椀
湾
碗
腕
佛
佝
佶
佻
俶
僖
僣
儂
儖
决
剌
曼
呟
呱
哽
啖
唳
圓
坎
坏
坩
夸
姚
婉
嫖
嬌
岷
峺
崔
嶝
嶬
幀
幔
弯
彭
彿
忖
怐
怩
怫
悚
悛
悽
慚
慓
憔
應
抂
抉
抔
拑
拂
拮
捶
掟
捩
摧
撩
擇
旁
昵
暸
枉
杪
枦
枸
柧
桍
梳
梭
椢
棔
椒
椹
榾
榜
槧
橲
樶
橙
樸
檻
鬱
殀
殄
殳
氓
汪
泯
浚
淇
淒
滂
澎
潦
澤
濆
瀑
炒
炬
燎
燿
狒
猾
獨
璞
畛
眇
眩
眤
碵
碪
磆
磅
礒
礙
秣
稘
竦
籠
粐
粳
糂
紂
綟
緻
縣
縵
縹
繚
繹
繿
聢
胯
膀
艤
舮
苴
荅
蚶
蛆
蜀
蜿
蝙
蠖
袂
袗
褄
褊
褝
襤
觚
誂
諚
諞
謗
謾
證
譛
譯
豌
豸
賁
跣
踈
蹼
軫
轎
辣
酘
酣
醋
釋
鈔
鉗
鉤
鋺
鍖
鏝
鐐
陲
雹
靺
鞆
鞳
騙
驃
驕
驛
鬯
鰾
鱚
乄
滙
