姐
惟
為
異
維
違
遺
亥
域
隠
卯
碓
浦
鋭
悦
閲
延
援
沿
鉛
奥
押
欧
殴
岡
卸
穏
箇
壊
懐
劾
咳
該
柿
核
較
閣
革
割
括
叶
株
巻
喚
換
敢
環
監
看
簡
緩
危
揮
机
既
貴
飢
疑
虐
吸
汲
亨
享
供
凶
恐
恭
況
胸
郷
仰
桐
勤
錦
筋
偶
隅
熊
繰
傾
携
警
劇
激
穴
憲
権
絹
厳
幻
源
乎
呼
互
呉
娯
御
誤
佼
后
宏
弘
江
洪
皇
紅
絞
綱
鋼
降
項
刻
穀
骨
頃
砂
坐
座
債
栽
済
裁
阪
策
錆
桟
蚕
私
至
視
詞
誌
磁
執
捨
斜
若
朱
殊
狩
呪
樹
収
宗
就
衆
酋
什
従
縦
銃
熟
准
純
巡
処
緒
署
諸
傷
妾
将
障
丞
城
蒸
触
蝕
針
仁
刃
須
垂
推
錐
勢
姓
性
政
牲
盛
精
聖
製
誠
請
斉
税
績
蹟
碩
接
絶
宣
洗
染
賎
践
銭
善
噌
曽
祖
租
粗
阻
僧
創
壮
奏
層
掃
操
燥
窓
装
像
増
憎
臓
蔵
贈
造
測
属
揃
尊
損
堆
態
泰
袋
貸
退
醍
宅
沢
脱
誰
坦
担
探
胆
誕
団
断
暖
段
値
稚
築
筑
嫡
宙
忠
著
庁
張
潮
聴
脹
頂
沈
賃
椎
痛
漬
坪
堤
提
程
摘
敵
滴
適
鏑
展
唐
糖
統
討
導
洞
胴
銅
徳
独
届
屯
沌
頓
鈍
難
弐
匂
乳
任
妊
忍
認
撚
燃
悩
納
能
脳
巴
把
杷
派
破
俳
拝
排
背
肺
秤
莫
箸
肌
抜
伴
判
氾
版
犯
班
販
煩
晩
彼
批
披
秘
緋
肥
被
誹
備
媛
俵
評
貧
婦
浮
武
幅
腹
複
払
仏
奮
並
陛
片
弁
捕
甫
補
墓
暮
俸
奉
宝
捧
訪
坊
妨
忘
暴
棒
紡
肪
貿
防
枚
幕
枕
岬
密
務
夢
矛
娘
盟
棉
綿
模
尤
厄
訳
靖
愉
諭
輸
優
憂
郵
預
幼
欲
翌
頼
乱
卵
覧
裏
律
率
略
留
領
臨
朗
浪
郎
肋
論
况
凵
匈
呷
咀
哄
哺
嘖
噪
坡
垓
埔
奐
妲
孩
孰
嵎
帛
帷
幺
彷
徃
徂
徘
忱
怛
恬
恫
悵
愎
懆
扞
扛
拱
朖
朿
杠
枋
柤
椄
殞
汳
沮
渙
澡
烝
煥
狎
玻
琅
琲
皈
矼
砠
磧
禹
禺
粡
粮
聒
肛
胛
脯
腓
蛞
衽
袒
訌
詛
謫
譟
踉
躁
鈑
銛
陂
隕
雎
雉
駭
哀
扱
