亜
愛
悪
宛
或
安
暗
委
意
移
衣
医
育
一
員
引
飲
院
右
羽
雨
云
運
雲
映
永
泳
英
駅
円
園
遠
央
横
王
黄
屋
温
音
下
化
何
加
可
夏
家
科
歌
火
禾
花
荷
画
介
会
回
海
界
皆
絵
開
階
貝
外
各
拡
角
学
楽
活
且
寒
完
官
干
感
漢
管
間
館
丸
岸
岩
顔
期
帰
気
汽
規
記
起
吉
客
久
休
及
宮
弓
急
求
球
究
級
牛
去
魚
京
共
喬
強
教
橋
業
局
曲
玉
巾
斤
近
金
銀
九
区
苦
具
空
君
軍
係
兄
形
系
計
軽
欠
決
血
月
件
検
犬
研
県
見
元
原
言
古
己
庫
戸
湖
胡
五
午
吾
後
語
交
光
公
口
向
孝
工
巷
幸
広
控
更
校
浩
港
甲
稿
考
行
香
高
号
合
告
国
黒
込
今
根
艮
左
差
再
才
祭
細
作
削
索
皿
三
山
算
仕
仔
使
司
四
士
始
姉
子
市
思
指
旨
止
死
氏
糸
紙
詩
歯
事
字
寺
持
時
次
示
而
耳
自
式
七
室
社
車
尺
弱
手
首
受
周
秋
舟
週
集
十
重
宿
縮
出
春
所
書
女
除
升
小
少
消
肖
上
丈
冗
場
情
色
食
信
心
新
森
申
親
辛
進
人
図
水
数
寸
成
星
晴
正
生
声
西
青
石
赤
切
設
雪
舌
先
千
占
川
泉
線
船
選
前
全
組
早
相
総
草
走
送
足
其
存
村
多
太
体
待
台
大
択
但
巽
谷
嘆
旦
端
男
知
地
池
竹
茶
着
中
昼
虫
丁
朝
町
長
鳥
直
追
通
呈
定
弟
天
店
添
転
点
田
電
斗
土
冬
刀
東
当
答
豆
頭
動
同
道
読
呑
奈
内
乍
南
二
肉
日
入
年
乃
馬
買
売
伯
白
麦
箱
八
半
反
釆
番
比
彦
百
表
不
付
夫
父
風
復
分
文
聞
平
閉
米
頁
編
返
保
歩
母
呆
報
方
豊
北
卜
本
妹
毎
又
末
万
未
巳
名
明
迷
鳴
毛
木
目
戻
問
門
也
夜
野
矢
唯
友
由
夕
予
余
容
曜
用
来
吏
履
理
里
立
良
量
力
林
歴
呂
六
話
惑
亘
弌
丿
弍
亠
佰
冂
冖
几
匕
匚
卩
夘
咸
夂
夬
夭
宀
尸
尹
已
帚
广
彡
忝
攵
昜
暎
曰
泱
甬
聿
隹
