炊
睡
錘
澄
凄
棲
惜
籍
跡
摂
蝉
扇
潜
旋
繊
薦
遷
銑
鮮
漸
禅
岨
措
狙
疏
疎
双
唾
妥
騨
滞
卓
濯
鐸
濁
淡
湛
綻
弾
智
畜
蓄
酎
彫
挑
眺
跳
銚
捗
朕
珍
陳
掴
偵
碇
禎
泥
擢
甜
顛
怒
倒
凍
塔
搭
桃
棟
燈
筒
督
突
謎
馴
軟
尼
寧
之
濃
膿
廃
杯
曝
爆
繁
盤
疲
菱
肘
漂
彬
頻
敏
怖
敷
腐
舞
封
覆
沸
噴
墳
憤
紛
柄
壁
偏
遍
崩
朋
傍
忙
膨
僕
撲
没
翻
磨
抹
沫
慢
漫
魅
妙
眠
霧
冥
盲
餅
躍
猶
誉
妖
抑
沃
翼
淀
濫
琉
硫
龍
慮
僚
療
瞭
厘
涙
累
励
麗
裂
煉
錬
炉
椀
湾
碗
腕
佛
佝
佶
佻
俶
僖
僣
儂
儖
决
剌
曼
呟
呱
哽
啖
唳
圓
坎
坏
坩
夸
姚
婉
嫖
嬌
岷
峺
崔
嶝
嶬
幀
幔
弯
彭
彿
忖
怐
怩
怫
悚
悛
悽
慚
慓
憔
應
抂
抉
抔
拑
拂
拮
捶
掟
捩
摧
撩
擇
旁
昵
暸
枉
杪
枦
枸
柧
桍
梳
梭
椢
棔
椒
椹
榾
榜
槧
橲
樶
橙
樸
檻
鬱
殀
殄
殳
氓
汪
泯
浚
淇
淒
滂
澎
潦
澤
濆
瀑
炒
炬
燎
燿
狒
猾
獨
璞
畛
眇
眩
眤
碵
碪
磆
磅
礒
礙
秣
稘
竦
籠
粐
粳
糂
紂
綟
緻
縣
縵
縹
繚
繹
繿
聢
胯
膀
艤
舮
苴
荅
蚶
蛆
蜀
蜿
蝙
蠖
袂
袗
褄
褊
褝
襤
觚
誂
諚
諞
謗
謾
證
譛
譯
豌
豸
賁
跣
踈
蹼
軫
轎
辣
酘
酣
醋
釋
鈔
鉗
鉤
鋺
鍖
鏝
鐐
陲
雹
靺
鞆
鞳
騙
驃
驕
驛
鬯
鰾
鱚
乄
滙
挨
鯵
梓
綾
粟
按
鞍
臼
餌
堰
於
鴎
荻
桶
牡
苛
嘩
廻
怪
悔
晦
蟹
崖
涯
蓋
嚇
殻
赫
郭
樫
橿
鰹
樺
蒲
釜
噛
萱
刈
勘
憾
澗
閑
頑
稀
輝
欺
喫
脚
糾
鋸
叫
彊
脅
粁
玖
遇
沓
靴
勲
慧
憩
茎
蛍
詣
鶏
迎
鯨
剣
堅
賢
遣
姑
枯
糊
鈷
鼓
悟
梧
瑚
醐
紘
肱
剛
豪
酷
獄
腰
此
鎖
鷺
搾
朔
拶
捌
晒
傘
惨
讃
祉
脂
賜
雌
侍
慈
漆
篠
芝
赦
煮
遮
邪
杓
灼
酌
錫
寂
腫
趣
洲
臭
襲
酬
獣
塾
潤
渚
庶
徐
掌
粧
鍾
鐘
浄
拭
辱
尻
唇
薪
迅
陣
厨
翠
衰
随
瑞
髄
崇
嵩
据
菅
裾
畝
栖
醒
脆
戚
斥
脊
腺
訴
鼠
捜
掻
曹
槍
槽
漕
痩
糟
綜
荘
藻
遭
鎗
騒
汰
駄
怠
逮
啄
托
琢
託
諾
奪
棚
鍛
恥
痴
逐
秩
註
駐
猪
懲
暢
栂
潰
釣
悌
梯
逓
鼎
徹
撤
殿
吐
杜
淘
踏
逃
陶
騰
闘
憧
撞
瞳
峠
豚
楠
虹
捻
罵
輩
培
賠
陪
這
舶
迫
縛
髪
罰
斑
頒
庇
扉
避
枇
膝
姫
斧
譜
侮
蔽
舗
鋪
圃
輔
穂
戊
倣
峰
蜂
邦
鋒
乏
冒
頬
墨
奔
摩
魔
麻
麿
湊
稔
牟
椋
銘
麺
茂
妄
黙
貰
匁
薮
鑓
癒
悠
涌
雄
揚
揺
楊
謡
踊
裸
藍
璃
掠
溜
虜
寮
梁
涼
諒
燐
隣
鱗
瑠
塁
霊
憐
蓮
露
弄
篭
麓
歪
蕨
丼
仟
佚
估
俟
俑
俤
俥
倨
偃
傲
僮
僵
凉
剄
勁
厥
雙
哂
唏
唔
啀
唸
喘
喃
址
垰
埃
堋
壹
妁
妣
姆
尠
峙
崕
巫
帙
幢
弑
弸
彎
怙
恣
恃
惴
惺
愴
慳
戔
戡
拆
拇
掏
揣
搶
摯
撼
攅
敖
斟
无
晞
晤
暉
暘
曄
曖
柝
條
棡
棕
棯
楜
榴
橦
殕
汢
沚
沽
泝
洒
涕
淙
渾
湍
滄
漱
漓
潼
灣
烽
焙
煬
牾
狄
猯
猩
珸
琿
瑶
畆
畤
畭
瘍
皓
盍
睇
睚
瞶
瞹
矣
砒
硼
碚
秕
竏
竢
箋
簗
粃
粽
紕
緞
纉
缸
羝
羚
翔
翡
耻
肄
肆
肚
腥
臺
舖
艙
艚
艟
葭
蛄
蜍
蛹
蜴
蝠
蝴
蝪
裃
裼
褌
詁
詭
誦
諢
譁
賍
趾
跪
踝
踞
踵
蹌
踪
軾
輳
輻
酩
鍄
鏗
鑚
閂
阡
阯
鞐
鞜
頸
駲
體
髟
鮟
鮠
鮨
鯆
鯑
鯒
鯣
鯰
鰡
ட
姶
逢
茜
旭
絢
袷
闇
夷
畏
萎
郁
磯
溢
烏
鵜
窺
唄
姥
噂
曳
洩
怨
燕
嘉
霞
拐
骸
撹
顎
笠
恰
轄
茅
姦
棺
舘
玩
忌
